,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
116,Roozbeh Cheshmi,DFMF,ir IR Iran,29-143,1.ir Esteghlal,1993,2,1,58,0.6,1,0,1,0,0,0,0,1.55,0,1.55,1.55,1.55,0.1,0.1,0,0.1,0.08,0,0.08,0.08,0.08,Matches,87c75fb3
117,Andreas Christensen,DF,dk Denmark,26-248,1.es Barcelona,1996,3,3,270,3,1,0,1,0,0,1,0,0.33,0,0.33,0.33,0.33,0.4,0.4,0,0.4,0.12,0,0.12,0.12,0.12,Matches,1cb49278
118,Hong Chul,DF,kr Korea Republic,32-088,1.kr Daegu,1990,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.13,0.13,0,0.13,Matches,c7de2245
119,José Cifuentes,MF,ec Ecuador,23-277,1.us Los Angeles FC,1999,2,0,59,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches,8c8c07a7
120,Pathé Ciss,MF,sn Senegal,28-273,1.es Rayo Vallecano,1994,3,2,146,1.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches,9a0408b6
121,Sebastián Coates,DF,uy Uruguay,32-068,1.pt Sporting CP,1990,2,2,180,2,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.05,0,0.05,0.05,0.05,Matches,1fbbfbde
122,Rubin Colwill,MF,wls Wales,20-231,2.eng Cardiff City,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0.21,0.21,0.21,Matches,f170b63e
123,Kingsley Coman,FW,fr France,26-184,1.de Bayern Munich,1996,5,1,119,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,0.12,0.06,0.18,0.12,0.18,Matches,042e8a49
124,Eray Cömert,DF,ch Switzerland,24-313,1.es Valencia,1998,2,0,46,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,1.59E+21
125,Anthony Contreras,FWMF,cr Costa Rica,22-319,1.cr Club Sport Herediano,2000,3,2,125,1.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches,d05ca2cc
126,Andreas Cornelius,FW,dk Denmark,29-273,1.dk FC Copenhagen,1993,3,1,92,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.1,1.1,1,0.09,1.09,1,1.09,Matches,c693347d
127,Ángel Correa,MF,ar Argentina,27-280,1.es Atlético Madrid,1995,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,01eb744d
128,Diogo Costa,GK,pt Portugal,23-086,1.pt Porto,1999,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches,93fffbcf
129,Thibaut Courtois,GK,be Belgium,30-217,1.es Real Madrid,1992,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,1840e36d
130,Jason Cummings,FW,au Australia,27-135,1.au Central Coast,1995,1,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,e28fbd0e
131,Aimen Dahmen,GK,tn Tunisia,25-320,1.tn CS Sfaxien,1997,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,8bf49030
132,Diogo Dalot,DF,pt Portugal,23-271,1.eng Manchester Utd,1999,3,3,258,2.9,0,2,0,0,0,0,0,0,0.7,0.7,0,0.7,0,0,0.7,0.8,0.01,0.25,0.26,0.01,0.26,Matches,d9565625
133,Mikkel Damsgaard,MFFW,dk Denmark,22-164,1.eng Brentford,2000,3,1,150,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.2,0.2,0,0.2,Matches,215f3907
134,Danilo,DF,br Brazil,31-152,1.it Juventus,1991,3,3,281,3.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches,94b2001f
135,Achraf Dari,DF,ma Morocco,23-222,1.fr Brest,1999,1,0,34,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5069b796
136,Jonathan David,FWMF,ca Canada,22-334,1.fr Lille,2000,3,2,192,2.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7,0,0.7,0.49,0,0.49,0.35,0.35,Matches,ce50fd99
137,Alphonso Davies,MFDF,ca Canada,22-042,1.de Bayern Munich,2000,3,3,270,3,1,0,1,0,1,1,0,0.33,0,0.33,0.33,0.33,1.1,0.3,0.5,0.8,0.36,0.17,0.53,0.09,0.27,Matches,d781d855
138,Ben Davies,DF,wls Wales,29-234,1.eng Tottenham,1993,3,3,238,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.13,0,0.13,0.13,0.13,Matches,44781702
139,Nasser Al-Dawsari,FW,sa Saudi Arabia,23-360,1.sa Al-Hilal,1998,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,1.27,1.27,0,1.27,Matches,7709e4a6
140,Salem Al-Dawsari,MF,sa Saudi Arabia,31-117,1.sa Al-Hilal,1991,3,3,270,3,2,0,2,0,1,1,0,0.67,0,0.67,0.67,0.67,1.8,1,0.2,1.2,0.59,0.08,0.67,0.32,0.4,Matches,60ee859c
141,Giorgian De Arrascaeta,MF,uy Uruguay,28-196,1.br Flamengo,1994,2,1,108,1.2,2,0,2,0,0,0,0,1.67,0,1.67,1.67,1.67,1.2,1.2,0.5,1.7,1.01,0.45,1.45,1.01,1.45,Matches,be8d02dd
142,Kevin De Bruyne,FWMF,be Belgium,31-169,1.eng Manchester City,1991,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.9,1.1,0.08,0.3,0.38,0.08,0.38,Matches,e46012d4
143,Charles De Ketelaere,FW,be Belgium,21-279,1.it Milan,2001,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2ef7c612
144,Nicolás De La Cruz,MF,uy Uruguay,25-196,1.ar River Plate,1997,2,0,38,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0.09,0.09,0.09,Matches,8fda5c72
145,Rodrigo De Paul,MF,ar Argentina,28-204,1.es Atlético Madrid,1994,6,6,498,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.2,1,0.14,0.04,0.19,0.14,0.19,Matches,162efffd
146,Miloš Degenek,DF,au Australia,28-230,1.us Columbus Crew,1994,4,2,183,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,c8e65157
147,Thomas Delaney,MF,dk Denmark,31-102,1.es Sevilla,1991,1,1,44,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,fe641c1a
148,Ousmane Dembélé,FW,fr France,25-213,1.es Barcelona,1997,5,4,315,3.5,0,2,0,0,0,1,0,0,0.57,0.57,0,0.57,0.5,0.5,1.6,2.1,0.14,0.47,0.61,0.14,0.61,Matches,b19db005
149,Leander Dendoncker,DFMF,be Belgium,27-243,1.eng Aston Villa,1995,2,2,161,1.8,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.4,0.4,0.05,0.2,0.25,0.05,0.25,Matches,5a7301ae
150,Sergiño Dest,DF,us United States,22-041,1.it Milan,2000,4,4,305,3.4,0,1,0,0,0,1,0,0,0.3,0.3,0,0.3,0.2,0.2,0.5,0.7,0.07,0.15,0.22,0.07,0.22,Matches,5976f83e
151,Ángel Di María,MFFW,ar Argentina,34-303,1.it Juventus,1988,4,3,225,2.5,0,1,0,0,0,0,0,0,0.4,0.4,0,0.4,0.1,0.1,0.4,0.6,0.06,0.18,0.24,0.06,0.24,Matches,19cda00b
152,Boulaye Dia,FW,sn Senegal,26-028,1.it Salernitana,1996,4,4,318,3.5,1,0,1,0,0,1,0,0.28,0,0.28,0.28,0.28,0.7,0.7,0,0.8,0.21,0.01,0.22,0.21,0.22,Matches,244bc2c8
153,Abdou Diallo,DF,sn Senegal,26-224,1.de RB Leipzig,1996,4,4,331,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.01,0.02,0.03,0.01,0.03,Matches,fc62f087
154,Rúben Dias,DF,pt Portugal,25-214,1.eng Manchester City,1997,4,4,360,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches,31c69ef1
155,Krépin Diatta,FWMF,sn Senegal,23-292,1.fr Monaco,1999,3,3,181,2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.06,0.09,0.16,0.06,0.16,Matches,8104e41e
156,Famara Diedhiou,FW,sn Senegal,29-364,1.tr Alanyaspor,1992,2,1,92,1,1,0,1,0,0,0,0,0.98,0,0.98,0.98,0.98,0.2,0.2,0,0.2,0.19,0.03,0.22,0.19,0.22,Matches,e447352c
157,Bamba Dieng,FW,sn Senegal,22-266,1.fr Marseille,2000,4,0,100,1.1,1,0,1,0,0,0,0,0.9,0,0.9,0.9,0.9,0.5,0.5,0.1,0.6,0.45,0.05,0.5,0.45,0.5,Matches,40774c6b
158,Eric Dier,DF,eng England,28-333,1.eng Tottenham,1994,2,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ac861941
159,Axel Disasi,DF,fr France,24-278,1.fr Monaco,1998,2,1,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.07,0,0.07,0.07,0.07,Matches,ad82197c
160,Alexander Djiku,DFFW,gh Ghana,28-127,1.fr Strasbourg,1994,2,1,97,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,43e7a164
161,Ritsu Doan,FW,jp Japan,24-181,1.de Freiburg,1998,4,2,217,2.4,2,0,2,0,0,0,0,0.83,0,0.83,0.83,0.83,0.5,0.5,0.2,0.7,0.21,0.07,0.28,0.21,0.28,Matches,d01bbb6f
162,Jeremy Doku,MFFW,be Belgium,20-201,1.fr Rennes,2002,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,fffea3e5
163,Kasper Dolberg,FW,dk Denmark,25-069,1.es Sevilla,1997,3,1,114,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,0.31,0.05,0.37,0.31,0.37,Matches,cc83b74d
164,Mohamed Dräger,DF,tn Tunisia,26-172,1.ch Luzern,1996,2,2,132,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.14,0.01,0.15,0.14,0.15,Matches,8954fddc
165,Óscar Duarte,DF,cr Costa Rica,33-194,1.sa Al-Wehda,1989,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3,0.3,0,0.09,0.09,0,0.09,Matches,aa0ac32d
166,Mitchell Duke,FW,au Australia,31-330,2.jp Fagi Okayama,1991,4,4,270,3,1,0,1,0,0,1,0,0.33,0,0.33,0.33,0.33,0.4,0.4,0,0.4,0.12,0.01,0.13,0.12,0.13,Matches,293f5bf9
167,Denzel Dumfries,DF,nl Netherlands,26-240,1.it Inter,1996,5,5,479,5.3,1,2,1,0,0,2,1,0.19,0.38,0.56,0.19,0.56,0.4,0.4,0.3,0.7,0.08,0.06,0.14,0.08,0.14,Matches,481c9ece
168,Paulo Dybala,FW,ar Argentina,29-029,1.it Roma,1993,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,1.03,1.03,0,1.03,Matches,e0921a4f
169,Enzo Ebosse,DF,cm Cameroon,23-278,1.it Udinese,1999,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,9ba7b4fa
170,Ederson,GK,br Brazil,29-119,1.eng Manchester City,1993,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,3bb7b8b4
171,Jorge Eduardo Sánchez,DF,mx Mexico,25-004,1.nl Ajax,1997,2,2,175,1.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches,c8d1c3a5
172,Nico Elvedi,DF,ch Switzerland,26-075,1.de M'Gladbach,1996,2,2,180,2,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.04,0,0.04,0.04,0.04,Matches,48035304
173,Breel Embolo,FW,ch Switzerland,25-303,1.fr Monaco,1997,4,4,323,3.6,2,0,2,0,0,0,0,0.56,0,0.56,0.56,0.56,2.3,2.3,0.1,2.4,0.64,0.03,0.66,0.64,0.66,Matches,0b4f388a
174,Youssef En-Nesyri,FW,ma Morocco,25-196,1.es Sevilla,1997,5,5,387,4.3,2,0,2,0,0,0,0,0.47,0,0.47,0.47,0.47,0.8,0.8,0,0.9,0.19,0.01,0.2,0.19,0.2,Matches,04e17fd5
175,Wataru Endo,MF,jp Japan,29-308,1.de Stuttgart,1993,4,3,304,3.4,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.5,0.6,0.06,0.15,0.21,0.06,0.21,Matches,c149016b
176,Devis Epassy,GK,cm Cameroon,29-315,1.sa Abha,1993,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,e171b085
177,Christian Eriksen,MF,dk Denmark,30-303,1.eng Manchester Utd,1992,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,0.06,0.14,0.2,0.06,0.2,Matches,980522ec
178,Michael Estrada,FW,ec Ecuador,26-251,1.mx Cruz Azul,1996,3,3,225,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.13,0.01,0.13,0.13,0.13,Matches,773f5f12
179,Pervis Estupiñán,DF,ec Ecuador,24-327,1.eng Brighton,1998,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.3,0.02,0.09,0.11,0.02,0.11,Matches,d38fdf53
180,Stephen Eustáquio,MF,ca Canada,25-358,1.pt Porto,1996,2,2,125,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,0.13,0.11,0.24,0.13,0.24,Matches,577efaec
181,Saeid Ezatolahi,MF,ir IR Iran,26-074,2.dk Vejle BK,1996,3,2,217,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.04,0.08,0.12,0.04,0.12,Matches,314d95ac
182,Abdessamad Ezzalzouli,FW,ma Morocco,20-362,1.es Osasuna,2001,2,0,80,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.26,0.26,0,0.26,Matches,bed68338
183,Fabinho,MF,br Brazil,29-052,1.eng Liverpool,1993,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,7f3b388c
184,Collins Fai,DF,cm Cameroon,30-123,1.sa Al-Ta'ee,1992,3,3,270,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.1,0.01,0.01,0.02,0.01,0.02,Matches,46e58246
185,Salman Al-Faraj,MF,sa Saudi Arabia,33-135,1.sa Al-Hilal,1989,1,1,44,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,df145034
186,Christian Fassnacht,FW,ch Switzerland,29-033,1.ch Young Boys,1993,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,2.58,0,2.58,2.58,2.58,Matches,0aeeed3f
187,Abdul Fatawu Issahaku,FW,gh Ghana,18-281,1.pt Sporting CP,2004,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,bceda5ff
188,Ansu Fati,FW,es Spain,20-044,1.es Barcelona,2002,2,0,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0ba976e4
189,João Félix,FW,pt Portugal,23-034,1.es Atlético Madrid,1999,4,4,331,3.7,1,2,1,0,0,1,0,0.27,0.54,0.82,0.27,0.82,0.9,0.9,0.4,1.2,0.24,0.1,0.34,0.24,0.34,Matches,8aafd64f
190,Bruno Fernandes,FWMF,pt Portugal,28-097,1.eng Manchester Utd,1994,4,4,356,4,2,3,1,1,1,1,0,0.51,0.76,1.26,0.25,1.01,1.1,0.3,1.7,2,0.28,0.42,0.71,0.08,0.51,Matches,507c7bdf
191,Edimilson Fernandes,FWDF,ch Switzerland,26-243,1.de Mainz 05,1996,3,1,145,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.4,0.02,0.21,0.23,0.02,0.23,Matches,3bb625ac
192,Enzo Fernández,MF,ar Argentina,21-331,1.pt Benfica,2001,6,4,444,4.9,1,1,1,0,0,0,0,0.2,0.2,0.41,0.2,0.41,0.2,0.2,0.8,1,0.04,0.16,0.21,0.04,0.21,Matches,5ff4ab71
193,Jesús Ferreira,FW,us United States,21-355,1.us FC Dallas,2000,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f61246d8
194,Phil Foden,FWMF,eng England,22-200,1.eng Manchester City,2000,4,3,258,2.9,1,2,1,0,0,0,0,0.35,0.7,1.05,0.35,1.05,1.1,1.1,0.6,1.6,0.38,0.2,0.57,0.38,0.57,Matches,ed1e53f3
195,Youssouf Fofana,MF,fr France,23-338,1.fr Monaco,1999,4,1,112,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.03,0.12,0.16,0.03,0.16,Matches,822d51d7
196,Juan Foyth,DF,ar Argentina,24-336,1.es Villarreal,1998,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,6c7762c3
197,Alan Franco,MF,ec Ecuador,24-115,1.ar Talleres,1998,2,1,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,c76b161b
198,Przemysław Frankowski,MF,pl Poland,27-246,1.fr Lens,1995,4,3,240,2.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.3,0.01,0.09,0.11,0.01,0.11,Matches,00a8d210
199,Fred,MF,br Brazil,29-284,1.eng Manchester Utd,1993,4,2,142,1.6,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.2,0.6,0.23,0.16,0.39,0.23,0.39,Matches,b853e0ad
200,Fabian Frei,MF,ch Switzerland,33-340,1.ch Basel,1989,2,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,9fb640a8
201,Remo Freuler,MF,ch Switzerland,30-243,1.eng Nott'ham Forest,1992,4,4,323,3.6,1,0,1,0,0,0,0,0.28,0,0.28,0.28,0.28,0.5,0.5,0,0.5,0.14,0,0.14,0.14,0.14,Matches,98d2c2c4
202,Keysher Fuller,DFMF,cr Costa Rica,28-156,1.cr Club Sport Herediano,1994,3,3,253,2.8,1,0,1,0,0,0,0,0.36,0,0.36,0.36,0.36,0.4,0.4,0.2,0.5,0.14,0.05,0.19,0.14,0.19,Matches,7.80E+92
203,Niclas Füllkrug,FW,de Germany,29-308,1.de Werder Bremen,1993,3,0,69,0.8,2,1,2,0,0,0,0,2.61,1.3,3.91,2.61,3.91,2.2,2.2,0.6,2.8,2.86,0.76,3.62,2.86,3.62,Matches,4f16405e
204,Rogelio Funes Mori,FW,mx Mexico,31-284,1.mx Monterrey,1991,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1.23,0,1.23,1.23,1.23,Matches,bf9a2406
205,Cody Gakpo,FWMF,nl Netherlands,23-221,1.nl PSV Eindhoven,1999,5,5,450,5,3,0,3,0,0,0,0,0.6,0,0.6,0.6,0.6,0.3,0.3,0.6,0.9,0.06,0.12,0.18,0.06,0.18,Matches,1971591f
206,Hernán Galíndez,GK,ec Ecuador,35-259,1.ec SD Aucas,1987,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,89c136f6
207,Jesús Gallardo,DF,mx Mexico,28-121,1.mx Monterrey,1994,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.04,0.01,0.05,0.04,0.05,Matches,d0846b6c
208,Idrissa Gana Gueye,MF,sn Senegal,33-079,1.eng Everton,1989,3,3,270,3,0,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0.11,0.03,0.14,0.11,0.14,Matches,72c812f3
209,Gavi,MF,es Spain,18-131,1.es Barcelona,2004,4,4,284,3.2,1,0,1,0,0,0,0,0.32,0,0.32,0.32,0.32,0.1,0.1,0.1,0.2,0.04,0.03,0.07,0.04,0.07,Matches,19cae58d
210,Sultan Al-Ghanam,DFMF,sa Saudi Arabia,28-222,1.sa Al-Nassr,1994,3,1,126,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,0.12,0.05,0.17,0.12,0.17,Matches,0ea89f8d
211,Nader Ghandri,DF,tn Tunisia,27-299,1.tn Club Africain,1995,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,7f1c7219
212,Saman Ghoddos,MF,ir IR Iran,29-099,1.eng Brentford,1993,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.36,0.05,0.41,0.36,0.41,Matches,f7b1d4e0
213,Ali Gholizadeh,MFFW,ir IR Iran,26-279,1.be Charleroi,1996,3,2,199,2.2,0,1,0,0,0,0,0,0,0.45,0.45,0,0.45,0,0,0.2,0.2,0.01,0.07,0.09,0.01,0.09,Matches,9fc0ac41
214,Matthias Ginter,DF,de Germany,28-329,1.de Freiburg,1994,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f521b80a
215,Olivier Giroud,FW,fr France,36-075,1.it Milan,1986,4,4,315,3.5,4,0,4,0,0,0,0,1.14,0,1.14,1.14,1.14,3.1,3.1,0.1,3.2,0.88,0.04,0.92,0.88,0.92,Matches,16ceb862
216,Kamil Glik,DF,pl Poland,34-314,2.it Benevento,1988,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.06,0,0.06,0.06,0.06,Matches,c6056d58
217,Serge Gnabry,FWMF,de Germany,27-153,1.de Bayern Munich,1995,3,3,263,2.9,1,1,1,0,0,0,0,0.34,0.34,0.68,0.34,0.68,1.1,1.1,1.5,2.6,0.37,0.51,0.88,0.37,0.88,Matches,88e357ef
218,Diego Godín,DF,uy Uruguay,36-301,1.ar Vélez Sarsf,1986,2,2,151,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.03,0,0.03,0.03,0.03,Matches,fc4f85b1
219,Maxi Gómez,FW,uy Uruguay,26-122,1.tr Trabzonspor,1996,2,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.26,0,0.26,0.26,0.26,Matches,4c2e9442
220,Papu Gómez,MFFW,ar Argentina,34-302,1.es Sevilla,1988,2,2,107,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches,6e4df551
221,Shūichi Gonda,GK,jp Japan,33-286,1.jp S-Pulse,1989,4,4,390,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,d8e5492f
222,Craig Goodwin,MF,au Australia,30-363,1.au Adelaide,1991,4,3,234,2.6,1,1,1,0,0,0,0,0.38,0.38,0.77,0.38,0.77,0.3,0.3,0.6,0.9,0.11,0.25,0.36,0.11,0.36,Matches,b2741e3d
223,Leon Goretzka,MF,de Germany,27-311,1.de Bayern Munich,1995,3,2,159,1.8,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0,0.5,0.26,0.01,0.27,0.26,0.27,Matches,cc86b9a3
224,Mario Götze,MF,de Germany,30-194,1.de Eint Frankfurt,1992,2,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.21,0.29,0.5,0.21,0.5,Matches,9efa1d25
225,Jack Grealish,FW,eng England,27-095,1.eng Manchester City,1995,5,0,86,1,1,0,1,0,0,0,0,1.05,0,1.05,1.05,1.05,0.6,0.6,0.1,0.8,0.69,0.12,0.81,0.69,0.81,Matches,b0b4fd3e
226,Antoine Griezmann,MF,fr France,31-268,1.es Atlético Madrid,1991,5,4,377,4.2,0,3,0,0,0,1,0,0,0.72,0.72,0,0.72,0.7,0.7,2.6,3.3,0.16,0.62,0.78,0.16,0.78,Matches,df69b544
227,Kamil Grosicki,MF,pl Poland,34-189,1.pl Pogoń Szczecin,1988,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,1.69,1.69,0,1.69,Matches,81d8091f
228,Carlos Gruezo,MF,ec Ecuador,27-239,1.de Augsburg,1995,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f2dd9a21
229,Marko Grujić,MF,rs Serbia,26-245,1.pt Porto,1996,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0.26,0.26,0.26,Matches,8b8e759d
230,Andrés Guardado,MF,mx Mexico,36-077,1.es Betis,1986,1,1,41,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ef322658
231,Nemanja Gudelj,MFDF,rs Serbia,31-028,1.es Sevilla,1991,2,1,92,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0076ab7f
232,Mattéo Guendouzi,FWMF,fr France,23-244,1.fr Marseille,1999,1,1,78,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5ea8ef20
233,Raphaël Guerreiro,DF,pt Portugal,28-357,1.de Dortmund,1993,4,3,279,3.1,1,2,1,0,0,0,0,0.32,0.65,0.97,0.32,0.97,0.4,0.4,0.6,1,0.12,0.19,0.31,0.12,0.31,Matches,048a1cbc
234,Cho Guesung,FW,kr Korea Republic,24-323,1.kr Jeonbuk,1998,4,3,275,3.1,2,0,2,0,0,1,0,0.65,0,0.65,0.65,0.65,1.1,1.1,0,1.1,0.35,0.01,0.36,0.35,0.36,Matches,ccfa8e5e
235,Pape Gueye,MF,sn Senegal,23-324,1.fr Marseille,1999,3,1,153,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.07,0.11,0.18,0.07,0.18,Matches,7155e3e1
