,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
26,Alisson,GK,br Brazil,30-073,1.eng Liverpool,1992,4,4,379,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,7a2e46a8
27,Joe Allen,MF,wls Wales,32-275,2.eng Swansea City,1990,2,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.1,0.05,0.15,0.1,0.15,Matches,9feb8f24
28,Thiago Almada,MF,ar Argentina,21-232,1.us Atlanta Utd,2001,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,3.16,3.16,0,3.16,Matches,27f33438
29,Roberto Alvarado,FW,mx Mexico,24-098,1.mx Guadalajara,1998,1,0,18,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ff871e14
30,Edson Álvarez,MF,mx Mexico,25-051,1.nl Ajax,1997,2,2,175,1.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0.01,0.11,0.12,0.01,0.12,Matches,8b3ab7ad
31,Julián Álvarez,FWMF,ar Argentina,22-317,1.eng Manchester City,2000,6,4,362,4,4,0,4,0,0,0,0,0.99,0,0.99,0.99,0.99,2.6,2.6,0.1,2.6,0.64,0.02,0.66,0.64,0.66,Matches,15ab5a2b
32,Kevin Álvarez,DF,mx Mexico,23-333,1.mx Pachuca,1999,2,1,70,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,636b0833
33,Dani Alves,DF,br Brazil,39-222,1.mx UNAM,1983,2,1,118,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.14,0,0.14,0.14,0.14,Matches,c9e99e49
34,Selim Amallah,MF,ma Morocco,26-029,1.be Standard Liège,1996,5,4,327,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.06,0.02,0.08,0.06,0.08,Matches,00eba9c9
35,Daniel Amartey,DF,gh Ghana,27-358,1.eng Leicester City,1994,3,3,251,2.8,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.08,0.03,0.1,0.08,0.1,Matches,1a4ef233
36,Ethan Ampadu,MFDF,wls Wales,22-091,1.it Spezia,2000,3,3,255,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.01,0.04,0.05,0.01,0.05,Matches,10b9fa99
37,Sofyan Amrabat,MF,ma Morocco,26-115,1.it Fiorentina,1996,5,5,480,5.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5a2cb25d
38,Abdulelah Al-Amri,DF,sa Saudi Arabia,25-333,1.sa Al-Nassr,1997,3,2,182,2,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.1,0.03,0,0.03,0.03,0.03,Matches,fd0affe3
39,Joachim Andersen,DF,dk Denmark,26-197,1.eng Crystal Palace,1996,3,3,270,3,0,1,0,0,0,0,0,0,0.33,0.33,0,0.33,0.1,0.1,0.2,0.3,0.03,0.08,0.11,0.03,0.11,Matches,e34fc66d
40,Karim Ansarifard,FWMF,ir IR Iran,32-255,1.cy AC Omonia,1990,2,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.17,0.2,0.36,0.17,0.36,Matches,50cddd19
41,Antony,FW,br Brazil,22-293,1.eng Manchester Utd,2000,4,1,172,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.4,0.15,0.08,0.22,0.15,0.22,Matches,99127249
42,Uriel Antuna,FWMF,mx Mexico,25-115,1.mx Cruz Azul,1997,3,0,77,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.18,0.02,0.2,0.18,0.2,Matches,a35f5848
43,Néstor Araujo,DF,mx Mexico,31-107,1.mx América,1991,1,1,90,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,27a013f7
44,Takuma Asano,FW,jp Japan,28-034,1.de Bochum,1994,4,0,165,1.8,1,0,1,0,0,0,0,0.55,0,0.55,0.55,0.55,0.7,0.7,0.2,0.9,0.44,0.17,0.6,0.44,0.6,Matches,13ddc856
45,Marco Asensio,FW,es Spain,26-327,1.es Real Madrid,1996,4,3,229,2.5,1,0,1,0,0,0,0,0.39,0,0.39,0.39,0.39,1.2,1.2,0.1,1.3,0.48,0.02,0.5,0.48,0.5,Matches,45af8a54
46,Ali Assadalla,MF,qa Qatar,29-329,1.qa Al Sadd SC,1993,1,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,8e74d3ce
47,Lawrence Ati-Zigi,GK,gh Ghana,26-015,1.ch St. Gallen,1996,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,a12402c3
48,Nathaniel Atkinson,DF,au Australia,23-184,1.sct Hearts,1999,1,1,84,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,51caa1f0
49,Yahya Attiat Allah,DF,ma Morocco,27-287,1.ma Wydad Casablanca,1995,4,1,183,2,0,1,0,0,0,0,0,0,0.49,0.49,0,0.49,0.1,0.1,1.1,1.2,0.05,0.65,0.7,0.05,0.7,Matches,432848a2
50,André Ayew,MFFW,gh Ghana,32-362,1.qa Al Sadd SC,1989,3,3,198,2.2,1,0,1,0,1,1,0,0.45,0,0.45,0.45,0.45,1.1,0.4,0,0.4,0.52,0,0.52,0.16,0.16,Matches,5dbefa9d
51,Jordan Ayew,FW,gh Ghana,31-094,1.eng Crystal Palace,1991,3,2,136,1.5,0,1,0,0,0,0,0,0,0.66,0.66,0,0.66,0.1,0.1,0.5,0.5,0.03,0.32,0.36,0.03,0.36,Matches,da052c14
52,Sardar Azmoun,FW,ir IR Iran,27-347,1.de Leverkusen,1995,3,2,126,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9,0.1,1,0.67,0.05,0.71,0.67,0.71,Matches,10549b49
53,César Azpilicueta,DF,es Spain,33-108,1.eng Chelsea,1989,2,2,135,1.5,0,1,0,0,0,0,0,0,0.67,0.67,0,0.67,0,0,0.7,0.7,0,0.45,0.45,0,0.45,Matches,53cad200
54,Srđan Babić,DF,rs Serbia,26-236,1.es Almería,1996,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,075fe5a3
55,Keanu Baccus,MF,au Australia,24-190,1.sct St Mirren,1998,4,1,114,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches,19df2bf7
56,Alexander Bah,DF,dk Denmark,25-005,1.pt Benfica,1997,2,0,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.11,0.14,0.25,0.11,0.25,Matches,78f21137
57,Hattan Bahebri,MF,sa Saudi Arabia,30-151,1.sa Al-Shabab,1992,2,0,4,0,0,1,0,0,0,1,0,0,22.5,22.5,0,22.5,0,0,0.6,0.6,0,14.37,14.37,0,14.37,Matches,b4f50ff5
58,Alejandro Balde,DF,es Spain,19-057,1.es Barcelona,2003,4,1,126,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches,5ccc9672
59,Gareth Bale,FW,wls Wales,33-151,1.us Los Angeles FC,1989,3,3,225,2.5,1,0,0,1,1,1,0,0.4,0,0.4,0,0,0.8,0,0.2,0.2,0.32,0.08,0.41,0.01,0.09,Matches,a58bb1e1
60,Fodé Ballo-Touré,DF,sn Senegal,25-345,1.it Milan,1997,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f449640d
61,Badr Banoun,DF,ma Morocco,29-075,1.qa Qatar SC,1993,2,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,06a24e51
62,Borna Barišić,DF,hr Croatia,30-034,1.sct Rangers,1992,1,1,120,1.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0.02,0.12,0.14,0.02,0.14,Matches,712dd708
63,Meshaal Barsham,GK,qa Qatar,24-303,1.qa Al Sadd SC,1998,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,8d3e92e0
64,Christian Bassogog,MF,cm Cameroon,27-057,1.cn Shanghai Shen,1995,1,0,24,0.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,395cd1d9
65,Michy Batshuayi,FW,be Belgium,29-073,1.tr Fenerbahçe,1993,2,2,151,1.7,1,0,1,0,0,0,0,0.6,0,0.6,0.6,0.6,0.8,0.8,0.1,0.8,0.45,0.03,0.48,0.45,0.48,Matches,2973d8ff
66,Jan Bednarek,DF,pl Poland,26-246,1.eng Aston Villa,1996,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,4115ce4e
67,Aziz Behich,DF,au Australia,31-363,1.sct Dundee United,1990,4,4,360,4,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.03,0,0.03,0.03,0.03,Matches,b6867b96
68,Alireza Beiranvand,GK,ir IR Iran,30-084,1.ir Persepolis,1992,2,2,109,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,6ca0b04a
69,Jude Bellingham,MF,eng England,19-168,1.de Dortmund,2003,5,5,414,4.6,1,1,1,0,0,0,0,0.22,0.22,0.43,0.22,0.43,0.6,0.6,0.3,0.9,0.12,0.07,0.19,0.12,0.19,Matches,57d88cf9
70,Anis Ben Slimane,MF,tn Tunisia,21-273,1.dk Brøndby,2001,2,2,148,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.07,0.06,0.12,0.07,0.12,Matches,9ade9ce1
71,Jewison Bennette,MF,cr Costa Rica,18-182,2.eng Sunderland,2004,3,1,103,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches,58f5704e
72,Rodrigo Bentancur,MF,uy Uruguay,25-172,1.eng Tottenham,1997,3,3,213,2.4,0,0,0,0,0,1,0,0,0,0,0,0,0.6,0.6,0.1,0.8,0.26,0.06,0.32,0.26,0.32,Matches,3b8674e6
73,Bartosz Bereszyński,DF,pl Poland,30-155,1.it Sampdoria,1992,4,4,341,3.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,61b3978f
74,Steven Berghuis,MF,nl Netherlands,30-360,1.nl Ajax,1991,4,1,200,2.2,0,1,0,0,0,1,0,0,0.45,0.45,0,0.45,0.3,0.3,0.1,0.3,0.13,0.04,0.17,0.13,0.17,Matches,713c144a
75,Steven Bergwijn,FW,nl Netherlands,25-067,1.nl Ajax,1997,4,3,213,2.4,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0,0.5,0.21,0,0.21,0.21,0.21,Matches,a29b1131
76,Krystian Bielik,MF,pl Poland,24-344,3.eng Derby County,1998,4,2,216,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.07,0,0.07,0.07,0.07,Matches,8e0ec853
77,Daley Blind,DF,nl Netherlands,32-280,1.nl Ajax,1990,5,5,423,4.7,1,1,1,0,0,0,0,0.21,0.21,0.43,0.21,0.43,0.4,0.4,0.5,0.8,0.08,0.1,0.18,0.08,0.18,Matches,691bef82
78,Celso Borges,MF,cr Costa Rica,34-201,1.cr Liga Deportiva Alajuelense,1988,3,3,249,2.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches,b8836910
79,Milan Borjan,GK,ca Canada,35-052,1.rs Red Star,1987,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5e8936be
80,Karim Boudiaf,MF,qa Qatar,32-089,1.qa Al Duhail SC,1990,3,2,185,2.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,a38f33fd
81,Sofiane Boufal,FW,ma Morocco,29-088,1.fr Angers,1993,5,5,347,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,0.04,0.07,0.11,0.04,0.11,Matches,b0c71810
82,Yassine Bounou,GK,ma Morocco,31-253,1.es Sevilla,1991,4,4,390,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f6798fc3
83,Martin Braithwaite,FWMF,dk Denmark,31-192,1.es Espanyol,1991,2,1,103,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.06,0.12,0.18,0.06,0.18,Matches,fd771f95
84,Mohammed Al-Breik,DF,sa Saudi Arabia,30-090,1.sa Al-Hilal,1992,2,1,65,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.1,0.51,0.07,0.58,0.03,0.1,Matches,bd448676
85,Gleison Bremer,DF,br Brazil,25-271,1.it Juventus,1997,2,1,109,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.14,0,0.14,0.14,0.14,Matches,5fd5ed86
86,Dylan Bronn,DF,tn Tunisia,27-178,1.it Salernitana,1995,2,2,162,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.04,0,0.04,0.04,0.04,Matches,edd81e2a
87,Marcelo Brozović,MF,hr Croatia,30-028,1.it Inter,1992,6,6,552,6.1,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0.2,0.7,0.09,0.03,0.12,0.09,0.12,Matches,33b8d077
88,Tajon Buchanan,MFDF,ca Canada,23-309,1.be Club Brugge,1999,3,3,260,2.9,0,1,0,0,0,1,0,0,0.35,0.35,0,0.35,0.9,0.9,0.5,1.4,0.33,0.17,0.5,0.33,0.5,Matches,3aca6420
89,Ante Budimir,FW,hr Croatia,31-145,1.es Osasuna,1991,2,0,55,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.37,0.07,0.44,0.37,0.44,Matches,8f3565b3
90,Osman Bukari,MF,gh Ghana,24-001,1.rs Red Star,1998,2,0,59,0.7,1,0,1,0,0,0,0,1.53,0,1.53,1.53,1.53,0.5,0.5,0.1,0.6,0.76,0.09,0.85,0.76,0.85,Matches,eab85789
